Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Global_Sales_Disc
1072;Resident Evil 4;GC;2005,0;Action;Capcom;0,98;0,42;0,22;0,06;1,69;Bajas Ventas
1073;Call of Duty Black Ops: Declassified;PSV;2012,0;Action;Activision;0,8;0,52;0,07;0,3;1,69;Bajas Ventas
1074;Star Wars Battlefront: Renegade Squadron;PSP;2007,0;Shooter;LucasArts;0,9;0,47;0,0;0,32;1,68;Bajas Ventas
1075;World Championship Poker: Featuring Howard Lederer - All In;PS2;2006,0;Misc;Oxygen Interactive;0,82;0,64;0,0;0,22;1,68;Bajas Ventas
1076;NFL GameDay 98;PS;1997,0;Sports;Sony Computer Entertainment;1,58;0,06;0,0;0,04;1,68;Bajas Ventas
1077;LEGO Batman 2: DC Super Heroes;X360;2012,0;Action;Warner Bros, Interactive Entertainment;0,9;0,64;0,0;0,15;1,68;Bajas Ventas
1078;Yoshi's Cookie;GB;1992,0;Puzzle;Nintendo;0,59;0,24;0,82;0,03;1,68;Bajas Ventas
1079;Time Crisis;PS;1997,0;Shooter;Namco Bandai Games;0,38;0,87;0,33;0,1;1,68;Bajas Ventas
1080;The Sims: Superstar;PC;2003,0;Simulation;Electronic Arts;1,67;0,0;0,0;0,0;1,68;Bajas Ventas
1081;Star Wars The Clone Wars: Lightsaber Duels;Wii;2008,0;Action;LucasArts;1,23;0,3;0,0;0,14;1,68;Bajas Ventas
1082;MySims;Wii;2007,0;Simulation;Electronic Arts;0,91;0,55;0,04;0,17;1,68;Bajas Ventas
1083;Metroid Fusion;GBA;2002,0;Action;Nintendo;1,18;0,27;0,17;0,06;1,68;Bajas Ventas
1084;Shaun White Snowboarding: Road Trip;Wii;2008,0;Sports;Ubisoft;0,94;0,57;0,0;0,17;1,67;Bajas Ventas
1085;SSX 3;PS2;2003,0;Sports;Electronic Arts;0,93;0,52;0,0;0,22;1,67;Bajas Ventas
1086;Big Beach Sports;Wii;2008,0;Sports;THQ;0,45;1,02;0,0;0,2;1,67;Bajas Ventas
1087;Madden NFL 2001;PS;2000,0;Sports;Electronic Arts;1,58;0,05;0,0;0,04;1,67;Bajas Ventas
1088;Fight Night Round 3;PS3;2006,0;Fighting;Electronic Arts;0,81;0,59;0,01;0,26;1,67;Bajas Ventas
1089;Knack;PS4;2013,0;Platform;Sony Computer Entertainment Europe;0,43;0,67;0,42;0,15;1,67;Bajas Ventas
1090;Star Wars: Battlefront II;XB;2005,0;Shooter;Activision;1,22;0,39;0,0;0,06;1,67;Bajas Ventas
1091;Disney's DuckTales;NES;1989,0;Platform;Capcom;0,91;0,3;0,42;0,04;1,67;Bajas Ventas
1092;Tony Hawk's Pro Skater 3;PS;2001,0;Sports;Activision;1,09;0,49;0,02;0,07;1,67;Bajas Ventas
1093;"Monsters; Inc,";GBA;2001,0;Adventure;THQ;0,59;0,95;0,03;0,1;1,67;Bajas Ventas
1094;StarCraft II: Heart of the Swarm;PC;2013,0;Strategy;Activision;0,82;0,65;0,0;0,19;1,67;Bajas Ventas
1095;PGR: Project Gotham Racing 2;XB;2003,0;Racing;Microsoft Game Studios;0,97;0,59;0,04;0,07;1,67;Bajas Ventas
1096;Spy Hunter;PS2;2001,0;Racing;Midway Games;1,13;0,32;0,0;0,22;1,67;Bajas Ventas
1097;NCAA Football 2004;PS2;2003,0;Sports;Electronic Arts;1,35;0,09;0,0;0,23;1,67;Bajas Ventas
1098;SpongeBob SquarePants: Battle for Bikini Bottom;PS2;2003,0;Platform;THQ;1,08;0,45;0,0;0,14;1,67;Bajas Ventas
1099;Dying Light;PS4;2015,0;Action;Warner Bros, Interactive Entertainment;0,63;0,66;0,11;0,26;1,66;Bajas Ventas
1100;Heavenly Sword;PS3;2007,0;Action;Sony Computer Entertainment;0,57;0,73;0,06;0,3;1,66;Bajas Ventas
1101;Street Fighter II': Special Champion Edition;GEN;1992,0;Fighting;Sega;1,0;0,3;0,31;0,04;1,66;Bajas Ventas
1102;SSX;PS2;2000,0;Sports;Electronic Arts;0,78;0,61;0,06;0,2;1,66;Bajas Ventas
1103;Max Payne 3;X360;2012,0;Shooter;Take-Two Interactive;0,86;0,64;0,01;0,14;1,66;Bajas Ventas
1104;NBA Ballers;PS2;2004,0;Sports;Midway Games;0,81;0,63;0,0;0,21;1,66;Bajas Ventas
1105;Need for Speed Carbon;X360;2006,0;Racing;Electronic Arts;0,76;0,7;0,02;0,18;1,66;Bajas Ventas
1106;NBA Live 2003;PS2;2002,0;Sports;Electronic Arts;1,25;0,15;0,03;0,22;1,66;Bajas Ventas
1107;Dragon Ball Z: Budokai Tenkaichi;PS2;2005,0;Fighting;Atari;0,96;0,12;0,54;0,04;1,66;Bajas Ventas
1108;Ms, Pac-Man;2600;1981,0;Puzzle;Atari;1,54;0,1;0,0;0,02;1,65;Bajas Ventas
1109;Mario Party 6;GC;2004,0;Misc;Nintendo;0,9;0,11;0,6;0,05;1,65;Bajas Ventas
1110;Super Scope 6;SNES;1991,0;Shooter;Nintendo;1,06;0,38;0,15;0,05;1,65;Bajas Ventas
1111;Go Vacation;Wii;2011,0;Misc;Namco Bandai Games;0,48;0,68;0,33;0,16;1,65;Bajas Ventas
1112;Dragon Quest V: Tenkuu no Hanayome;PS2;2004,0;Role-Playing;Enix Corporation;0,0;0,0;1,65;0,0;1,65;Bajas Ventas
1113;Army of Two;X360;2008,0;Shooter;Electronic Arts;1,09;0,38;0,02;0,16;1,65;Bajas Ventas
1114;Dragon Quest IV: Chapters of the Chosen;DS;2007,0;Role-Playing;Square Enix;0,32;0,02;1,27;0,03;1,64;Bajas Ventas
1115;Kirby & the Amazing Mirror;GBA;2004,0;Platform;Nintendo;0,8;0,05;0,76;0,03;1,64;Bajas Ventas
1116;LEGO Pirates of the Caribbean: The Video Game;Wii;2011,0;Action;Disney Interactive Studios;0,76;0,72;0,0;0,16;1,64;Bajas Ventas
1117;Dig Dug;2600;1982,0;Puzzle;Atari;1,52;0,1;0,0;0,02;1,64;Bajas Ventas
1118;Tom Clancy's Rainbow Six;PS;1999,0;Shooter;Red Storm Entertainment;0,93;0,63;0,0;0,08;1,64;Bajas Ventas
1119;Ghosts 'n Goblins;NES;1986,0;Action;Capcom;0,74;0,26;0,61;0,03;1,64;Bajas Ventas
1120;Tiger Woods PGA Tour 2003;PS2;2002,0;Sports;Electronic Arts;0,8;0,63;0,0;0,21;1,64;Bajas Ventas
1121;NBA Live 06 (All region sales);PS2;2005,0;Sports;Electronic Arts;1,44;0,15;0,0;0,05;1,64;Bajas Ventas
1122;Prince of Persia: Warrior Within;PS2;2004,0;Action;Ubisoft;0,54;0,88;0,0;0,22;1,64;Bajas Ventas
1123;Kinectimals;X360;2010,0;Simulation;Microsoft Game Studios;1,02;0,48;0,0;0,14;1,64;Bajas Ventas
1124;Until Dawn;PS4;2015,0;Adventure;Sony Computer Entertainment Europe;0,44;0,89;0,05;0,25;1,64;Bajas Ventas
1125;ESPN NFL 2K5;XB;2004,0;Sports;Sega;1,54;0,02;0,0;0,07;1,63;Bajas Ventas
1126;Viva Pinata;X360;2006,0;Simulation;Microsoft Game Studios;0,45;0,96;0,02;0,2;1,63;Bajas Ventas
1127;Pikmin;GC;2001,0;Strategy;Nintendo;0,78;0,25;0,56;0,04;1,63;Bajas Ventas
1128;Call of Duty: Black Ops;PC;;Shooter;Activision;0,58;0,81;0,0;0,24;1,63;Bajas Ventas
1129;Sonic Generations;PS3;2011,0;Platform;Sega;0,6;0,73;0,02;0,28;1,63;Bajas Ventas
1130;Tiger Woods PGA Tour 2004;PS2;2003,0;Sports;Electronic Arts;1,18;0,34;0,0;0,1;1,63;Bajas Ventas
1131;Ape Escape;PS;1999,0;Platform;Sony Computer Entertainment;0,71;0,48;0,32;0,11;1,63;Bajas Ventas
1132;NBA 2K15;X360;2014,0;Sports;Take-Two Interactive;1,33;0,14;0,0;0,15;1,63;Bajas Ventas
1133;NCAA Football 2005;PS2;2004,0;Sports;Electronic Arts;1,32;0,09;0,0;0,22;1,62;Bajas Ventas
1134;Just Cause 2;X360;2010,0;Action;Square Enix;0,59;0,85;0,02;0,17;1,62;Bajas Ventas
1135;Rock Band;PS3;;Misc;Electronic Arts;0,99;0,41;0,0;0,22;1,62;Bajas Ventas
1136;Tony Hawk's American Wasteland (Old all region sales);PS2;2005,0;Sports;Activision;0,8;0,63;0,01;0,19;1,62;Bajas Ventas
1137;Rage;X360;2011,0;Shooter;Bethesda Softworks;0,82;0,61;0,03;0,15;1,62;Bajas Ventas
1138;Mario Hoops 3 on 3;DS;2006,0;Sports;Nintendo;0,99;0,04;0,49;0,1;1,62;Bajas Ventas
1139;Kirby Air Ride;GC;2003,0;Racing;Nintendo;1,01;0,11;0,45;0,04;1,62;Bajas Ventas
1140;Sled Storm;PS;1998,0;Racing;Electronic Arts;0,9;0,61;0,0;0,11;1,62;Bajas Ventas
1141;Pokemon Battle Revolution;Wii;2006,0;Role-Playing;Nintendo;0,8;0,38;0,3;0,13;1,61;Bajas Ventas
1142;NFL Street 2;PS2;2004,0;Sports;Electronic Arts;0,79;0,62;0,0;0,21;1,61;Bajas Ventas
1143;Gears of War: Judgment;X360;2013,0;Shooter;Microsoft Game Studios;0,92;0,53;0,03;0,13;1,61;Bajas Ventas
1144;Baseball;GB;1989,0;Sports;Nintendo;0,66;0,27;0,65;0,03;1,61;Bajas Ventas
1145;Yu-Gi-Oh! Duel Monsters;GB;1998,0;Strategy;Konami Digital Entertainment;0,0;0,0;1,61;0,01;1,61;Bajas Ventas
1146;Super Mario Strikers;GC;2005,0;Sports;Nintendo;0,98;0,38;0,2;0,04;1,61;Bajas Ventas
1147;Buzz! The Music Quiz;PS2;2005,0;Misc;Sony Computer Entertainment;0,0;1,18;0,0;0,43;1,61;Bajas Ventas
1148;SpongeBob's Atlantis SquarePantis;DS;2007,0;Action;THQ;1,5;0,0;0,0;0,11;1,61;Bajas Ventas
1149;Far Cry 4;XOne;2014,0;Shooter;Ubisoft;0,79;0,68;0,01;0,13;1,61;Bajas Ventas
1150;Dance Dance Revolution: Hottest Party 2;Wii;2008,0;Simulation;Konami Digital Entertainment;0,95;0,48;0,01;0,15;1,6;Bajas Ventas
1151;Moshi Monsters: Moshling Zoo;DS;2011,0;Misc;Activision;0,4;0,99;0,0;0,22;1,6;Bajas Ventas
1152;Dollar Dash;PS2;2005,0;Action;Take-Two Interactive;1,3;0,23;0,0;0,07;1,6;Bajas Ventas
1153;Far Cry 2;X360;2008,0;Action;Ubisoft;0,71;0,69;0,02;0,18;1,6;Bajas Ventas
1154;F-1 World Grand Prix;N64;1998,0;Racing;Video System;0,46;0,96;0,09;0,08;1,6;Bajas Ventas
1155;River Raid;2600;1981,0;Shooter;Activision;1,49;0,09;0,0;0,02;1,6;Bajas Ventas
1156;Silent Hill;PS;1999,0;Action;Konami Digital Entertainment;0,71;0,48;0,3;0,1;1,6;Bajas Ventas
1157;Dragon Quest V: Hand of the Heavenly Bride;DS;2008,0;Role-Playing;Square Enix;0,19;0,02;1,36;0,02;1,6;Bajas Ventas
1158;No Man's Sky;PS4;2016,0;Action;Hello Games;0,58;0,74;0,02;0,26;1,6;Bajas Ventas
1159;Sonic Heroes;GC;2003,0;Platform;Sega;1,05;0,44;0,06;0,04;1,6;Bajas Ventas
1160;ESPN NBA 2K5;PS2;2004,0;Sports;Global Star;1,26;0,12;0,0;0,21;1,59;Bajas Ventas
1161;Diablo;PC;1996,0;Role-Playing;Activision;0,01;1,58;0,0;0,0;1,59;Bajas Ventas
1162;The Legend of Zelda: Twilight Princess;GC;2006,0;Action;Nintendo;1,15;0,36;0,04;0,04;1,59;Bajas Ventas
1163;Soul Edge;PS;1996,0;Fighting;Sony Computer Entertainment;0,61;0,41;0,46;0,1;1,59;Bajas Ventas
1164;Devil May Cry 4;PS3;2008,0;Action;Capcom;0,58;0,46;0,34;0,21;1,59;Bajas Ventas
1165;Mario Bros,;2600;1982,0;Platform;Atari;1,48;0,09;0,0;0,02;1,59;Bajas Ventas
1166;Pro Evolution Soccer 2008;PS3;2007,0;Sports;Konami Digital Entertainment;0,04;1,1;0,32;0,13;1,59;Bajas Ventas
1167;SoulCalibur IV;X360;2008,0;Fighting;Ubisoft;0,92;0,44;0,07;0,15;1,59;Bajas Ventas
1168;LEGO Harry Potter: Years 1-4;X360;2010,0;Action;Warner Bros, Interactive Entertainment;0,95;0,5;0,0;0,14;1,59;Bajas Ventas
1169;NASCAR 2000;PS;1999,0;Racing;Electronic Arts;0,88;0,6;0,0;0,1;1,59;Bajas Ventas
1170;Wolfenstein: The New Order;PS4;2014,0;Shooter;Bethesda Softworks;0,47;0,8;0,03;0,29;1,58;Bajas Ventas
1171;Carnival Games: Mini Golf;Wii;2008,0;Sports;Take-Two Interactive;0,87;0,56;0,0;0,15;1,58;Bajas Ventas
1172;Guitar Hero: On Tour Decades;DS;2008,0;Misc;Activision;0,85;0,58;0,0;0,16;1,58;Bajas Ventas
1173;MySims Kingdom;DS;2008,0;Simulation;Electronic Arts;0,81;0,6;0,01;0,17;1,58;Bajas Ventas
1174;Jampack Summer 2K;PS;2000,0;Misc;Sony Computer Entertainment;0,88;0,6;0,0;0,1;1,58;Bajas Ventas
1175;Need for Speed: Most Wanted;X360;2012,0;Racing;Electronic Arts;0,62;0,8;0,01;0,15;1,58;Bajas Ventas
1176;Guitar Hero 5;Wii;2009,0;Misc;Activision;0,94;0,49;0,0;0,15;1,58;Bajas Ventas
1177;High School Musical 3: Senior Year;DS;2008,0;Misc;Disney Interactive Studios;0,64;0,76;0,0;0,17;1,58;Bajas Ventas
1178;Kingdom Hearts 3D: Dream Drop Distance;3DS;2012,0;Action;Square Enix;0,88;0,26;0,34;0,09;1,58;Bajas Ventas
1179;Hannah Montana: Music Jam;DS;2007,0;Action;Disney Interactive Studios;1,06;0,37;0,0;0,15;1,58;Bajas Ventas
1180;Pokemon Mystery Dungeon: Explorers of Sky;DS;2009,0;Role-Playing;Nintendo;0,58;0,44;0,44;0,12;1,58;Bajas Ventas
1181;Spyro 2: Season of Flame;GBA;2002,0;Platform;Vivendi Games;0,85;0,65;0,0;0,08;1,58;Bajas Ventas
1182;Pro Evolution Soccer 2010;PS2;2009,0;Sports;Konami Digital Entertainment;0,1;0,18;0,12;1,16;1,57;Bajas Ventas
1183;NCAA Football 2002;PS2;2001,0;Sports;Electronic Arts;0,77;0,6;0,0;0,2;1,57;Bajas Ventas
1184;Conflict: Desert Storm;PS2;2002,0;Shooter;Gotham Games;0,98;0,53;0,0;0,06;1,57;Bajas Ventas
1185;Mario Party 7;GC;2005,0;Misc;Nintendo;0,95;0,11;0,46;0,04;1,57;Bajas Ventas
1186;Pro Evolution Soccer 2013;PS3;2012,0;Sports;Konami Digital Entertainment;0,18;0,64;0,49;0,25;1,56;Bajas Ventas
1187;Smuggler's Run;PS2;2000,0;Racing;Take-Two Interactive;0,77;0,6;0,0;0,2;1,56;Bajas Ventas
1188;Fight Night Round 3;PS2;2006,0;Fighting;Electronic Arts;1,07;0,4;0,0;0,1;1,56;Bajas Ventas
1189;Donkey Kong Classics;NES;1988,0;Platform;Nintendo;0,59;0,14;0,81;0,02;1,56;Bajas Ventas
1190;Twisted Metal;PS;1995,0;Action;Sony Computer Entertainment;1,32;0,19;0,0;0,05;1,56;Bajas Ventas
1191;Dark Souls III;PS4;2016,0;Role-Playing;Namco Bandai Games;0,58;0,44;0,33;0,21;1,56;Bajas Ventas
1192;Final Fight;SNES;1990,0;Action;Capcom;0,67;0,17;0,69;0,03;1,56;Bajas Ventas
1193;Dragon Quest Monsters 2;GB;2001,0;Role-Playing;Enix Corporation;0,0;0,0;1,56;0,0;1,56;Bajas Ventas
1194;Pokemon Pinball: Ruby & Sapphire;GBA;2003,0;Misc;Nintendo;0,68;0,38;0,44;0,05;1,56;Bajas Ventas
1195;LEGO Marvel Super Heroes;PS4;2013,0;Action;Warner Bros, Interactive Entertainment;0,59;0,75;0,01;0,21;1,56;Bajas Ventas
1196;Mafia II;X360;2010,0;Action;Take-Two Interactive;0,84;0,56;0,0;0,15;1,55;Bajas Ventas
1197;Dishonored;PS3;2012,0;Action;Bethesda Softworks;0,72;0,54;0,04;0,25;1,55;Bajas Ventas
1198;Stuntman;PS2;2002,0;Racing;Atari;0,76;0,59;0,0;0,2;1,55;Bajas Ventas
1199;Tom Clancy's Rainbow Six 3;XB;2003,0;Shooter;Ubisoft;0,91;0,57;0,0;0,07;1,55;Bajas Ventas
1200;Active Life: Outdoor Challenge;Wii;2008,0;Sports;Atari;0,79;0,44;0,19;0,14;1,55;Bajas Ventas
1201;BioShock 2;PS3;2010,0;Shooter;Take-Two Interactive;0,85;0,47;0,02;0,22;1,55;Bajas Ventas
1202;007: The World is not Enough;N64;2000,0;Action;Electronic Arts;1,13;0,38;0,02;0,03;1,55;Bajas Ventas
1203;Spider-Man 2: Enter: Electro;PS;2001,0;Action;Activision;0,57;0,87;0,02;0,09;1,55;Bajas Ventas
1204;Watch Dogs;XOne;2014,0;Action;Ubisoft;0,9;0,53;0,0;0,13;1,55;Bajas Ventas
1205;Star Wars: The Force Unleashed II;PS3;2010,0;Action;LucasArts;0,8;0,53;0,0;0,22;1,55;Bajas Ventas
1206;Ni no Kuni: Wrath of the White Witch;PS3;2011,0;Role-Playing;Namco Bandai Games;0,6;0,51;0,21;0,23;1,55;Bajas Ventas
1207;Command & Conquer: Tiberian Sun;PC;1999,0;Strategy;Westwood Studios;1,55;0,0;0,0;0,0;1,55;Bajas Ventas
1208;LEGO Battles: Ninjago;DS;2011,0;Strategy;Warner Bros, Interactive Entertainment;1,07;0,36;0,0;0,12;1,55;Bajas Ventas
1209;Mario Party 10;WiiU;2015,0;Misc;Nintendo;0,69;0,5;0,24;0,11;1,55;Bajas Ventas
1210;Dead Rising 3;XOne;2013,0;Action;Microsoft Game Studios;1,06;0,35;0,01;0,12;1,54;Bajas Ventas
1211;Resident Evil: The Umbrella Chronicles;Wii;2007,0;Action;Capcom;0,68;0,43;0,29;0,14;1,54;Bajas Ventas
1212;Fire Emblem Fates;3DS;2015,0;Role-Playing;Nintendo;0,71;0,22;0,52;0,1;1,54;Bajas Ventas
1213;Dark Cloud;PS2;2000,0;Role-Playing;Sony Computer Entertainment;0,83;0,44;0,08;0,19;1,54;Bajas Ventas
1214;Warcraft III: The Frozen Throne;PC;2003,0;Strategy;Activision;0,58;0,87;0,0;0,09;1,54;Bajas Ventas
1215;Tom Clancy's Ghost Recon Advanced Warfighter;X360;2006,0;Shooter;Ubisoft;1,4;0,02;0,02;0,1;1,54;Bajas Ventas
1216;Disney Fairies: Tinker Bell;DS;2008,0;Adventure;Disney Interactive Studios;0,86;0,52;0,01;0,15;1,54;Bajas Ventas
1217;MVP Baseball 2005;PS2;2005,0;Sports;Electronic Arts;1,26;0,07;0,0;0,21;1,54;Bajas Ventas
1218;Die Hard Trilogy;PS;1996,0;Shooter;Fox Interactive;0,85;0,58;0,0;0,1;1,54;Bajas Ventas
1219;Call of Duty: Black Ops II;PC;2012,0;Shooter;Activision;0,63;0,69;0,0;0,21;1,53;Bajas Ventas
1220;Fight Night Round 4;PS3;2009,0;Fighting;Electronic Arts;0,92;0,41;0,0;0,21;1,53;Bajas Ventas
1221;MySims Kingdom;Wii;2008,0;Simulation;Electronic Arts;0,71;0,65;0,01;0,17;1,53;Bajas Ventas
1222;The Simpsons Game;DS;2007,0;Action;Electronic Arts;0,57;0,79;0,0;0,17;1,53;Bajas Ventas
1223;Mortal Kombat 3;SNES;1994,0;Fighting;Acclaim Entertainment;1,19;0,29;0,0;0,05;1,53;Bajas Ventas
1224;NFL GameDay 99;PS;1998,0;Sports;989 Studios;1,44;0,05;0,0;0,04;1,53;Bajas Ventas
1225;Call of Duty: Modern Warfare: Reflex Edition;Wii;2009,0;Shooter;Activision;0,95;0,43;0,0;0,14;1,53;Bajas Ventas
1226;FIFA 17;XOne;2016,0;Sports;Electronic Arts;0,17;1,26;0,0;0,1;1,53;Bajas Ventas
1227;Mario Golf: Toadstool Tour;GC;2003,0;Sports;Nintendo;1,09;0,15;0,25;0,04;1,53;Bajas Ventas
1228;Tiger Woods 99 PGA Tour Golf;PS;1997,0;Sports;Electronic Arts;0,85;0,58;0,0;0,1;1,53;Bajas Ventas
1229;Donkey Kong Country: Tropical Freeze;WiiU;2014,0;Platform;Nintendo;0,73;0,52;0,15;0,12;1,52;Bajas Ventas
1230;Dead Space 2;X360;2011,0;Shooter;Electronic Arts;0,94;0,45;0,0;0,13;1,52;Bajas Ventas
1231;Sonic Rivals 2;PSP;2007,0;Racing;Sega;0,44;0,69;0,0;0,39;1,52;Bajas Ventas
1232;Knockout Kings;PS;1997,0;Fighting;Electronic Arts;1,07;0,39;0,0;0,06;1,52;Bajas Ventas
1233;The Simpsons Skateboarding;PS2;2002,0;Sports;Electronic Arts;0,36;0,9;0,0;0,27;1,52;Bajas Ventas
1234;NASCAR 98;PS;1996,0;Racing;Electronic Arts;1,43;0,05;0,0;0,04;1,52;Bajas Ventas
1235;F1 Race;NES;1984,0;Racing;Nintendo;0,0;0,0;1,52;0,0;1,52;Bajas Ventas
1236;Xevious;NES;1984,0;Shooter;Namco Bandai Games;0,18;0,06;1,27;0,01;1,52;Bajas Ventas
1237;NASCAR 99;PS;1998,0;Racing;Electronic Arts;1,45;0,04;0,0;0,04;1,52;Bajas Ventas
1238;NBA Live 2000;PS;1998,0;Sports;Electronic Arts;1,43;0,05;0,0;0,03;1,52;Bajas Ventas
1239;Mafia II;PS3;2010,0;Action;Take-Two Interactive;0,5;0,72;0,04;0,26;1,52;Bajas Ventas
1240;Call of Duty 3;PS3;2006,0;Shooter;Activision;0,6;0,63;0,03;0,26;1,52;Bajas Ventas
1241;Super Monkey Ball 2;GC;2002,0;Puzzle;Atari;1,11;0,31;0,06;0,04;1,52;Bajas Ventas
1242;Pac-Man World 2;PS2;2002,0;Action;Namco Bandai Games;1,26;0,05;0,0;0,21;1,51;Bajas Ventas
1243;Madden NFL 15;XOne;2014,0;Sports;Electronic Arts;1,3;0,09;0,0;0,12;1,51;Bajas Ventas
1244;Sonic & Sega All-Stars Racing;Wii;2010,0;Racing;Sega;0,65;0,71;0,0;0,15;1,51;Bajas Ventas
1245;LEGO Star Wars III: The Clone Wars;X360;2011,0;Action;LucasArts;0,84;0,54;0,0;0,13;1,51;Bajas Ventas
1246;Football Manager 2012;PC;2011,0;Sports;Sega;0,02;1,16;0,0;0,34;1,51;Bajas Ventas
1247;Puzzle & Dragons;3DS;2013,0;Role-Playing;GungHo;0,0;0,0;1,51;0,0;1,51;Bajas Ventas
1248;Mega Man 2;NES;1988,0;Action;Capcom;0,93;0,15;0,42;0,01;1,51;Bajas Ventas
1249;Simpsons Wrestling;PS;2001,0;Fighting;Electronic Arts;0,23;1,16;0,0;0,11;1,51;Bajas Ventas
1250;NBA Live 98;PS;1997,0;Sports;Electronic Arts;1,41;0,06;0,0;0,04;1,51;Bajas Ventas
1251;The Simpsons Game;PS2;2007,0;Action;Electronic Arts;0,35;0,03;0,0;1,13;1,51;Bajas Ventas
1252;Monopoly;PS;1997,0;Misc;Hasbro Interactive;1,18;0,27;0,0;0,05;1,51;Bajas Ventas
1253;SoulCalibur II;GC;2003,0;Fighting;Namco Bandai Games;0,99;0,32;0,11;0,08;1,5;Bajas Ventas
1254;Resistance 3;PS3;2011,0;Shooter;Sony Computer Entertainment;0,64;0,58;0,05;0,23;1,5;Bajas Ventas
1255;Tokyo Xtreme Racer Zero;PS2;2000,0;Racing;Crave Entertainment;0,66;0,52;0,15;0,17;1,5;Bajas Ventas
1256;Final Fantasy XIV: A Realm Reborn;PC;2010,0;Role-Playing;Square Enix;0,86;0,48;0,0;0,17;1,5;Bajas Ventas
1257;NFL Blitz;PS;1998,0;Sports;Midway Games;1,41;0,05;0,0;0,04;1,5;Bajas Ventas
1258;Red Faction II;PS2;2002,0;Shooter;THQ;0,49;0,78;0,0;0,23;1,5;Bajas Ventas
1259;Super Scribblenauts;DS;2010,0;Puzzle;Warner Bros, Interactive Entertainment;1,08;0,31;0,0;0,11;1,5;Bajas Ventas
1260;Madden NFL 2001;PS2;2000,0;Sports;Electronic Arts;1,19;0,07;0,05;0,2;1,5;Bajas Ventas
1261;WWF No Mercy;N64;2000,0;Fighting;THQ;1,2;0,27;0,02;0,02;1,5;Bajas Ventas
1262;Ice Climber;NES;1985,0;Platform;Nintendo;0,46;0,1;0,92;0,02;1,5;Bajas Ventas
1263;Sonic CD;SCD;1993,0;Platform;Sega;1,0;0,36;0,09;0,05;1,5;Bajas Ventas
1264;Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki;NES;1986,0;Platform;Hudson Soft;0,0;0,0;1,5;0,0;1,5;Bajas Ventas
1265;Dead Rising 2;X360;2010,0;Action;Capcom;0,75;0,53;0,09;0,12;1,5;Bajas Ventas
1266;Rock Band 2;PS3;2008,0;Misc;MTV Games;1,13;0,2;0,0;0,16;1,5;Bajas Ventas
1267;Pac-Man World;PS;1998,0;Action;Namco Bandai Games;1,21;0,14;0,1;0,04;1,5;Bajas Ventas
1268;Disney Sing It: Pop Hits;Wii;2009,0;Misc;Disney Interactive Studios;1,08;0,28;0,0;0,13;1,49;Bajas Ventas
1269;Final Fantasy: Crystal Chronicles;GC;2003,0;Role-Playing;Nintendo;0,72;0,38;0,36;0,04;1,49;Bajas Ventas
1270;Medal of Honor: Frontline;XB;2002,0;Shooter;Electronic Arts;1,0;0,43;0,0;0,06;1,49;Bajas Ventas
1271;Madden NFL 09;PS2;2008,0;Sports;Electronic Arts;1,22;0,0;0,0;0,27;1,49;Bajas Ventas
1272;Drawn To Life: SpongeBob SquarePants Edition;DS;2008,0;Adventure;THQ;1,0;0,36;0,0;0,13;1,49;Bajas Ventas
1273;Banjo-Tooie;N64;2000,0;Platform;Nintendo;0,82;0,36;0,25;0,06;1,49;Bajas Ventas
1274;Buzz! The BIG Quiz;PS2;2006,0;Misc;Sony Computer Entertainment;0,0;1,1;0,0;0,39;1,49;Bajas Ventas
1275;007: Quantum of Solace;X360;2008,0;Action;Activision;0,82;0,52;0,01;0,14;1,49;Bajas Ventas
1276;The Sims 3;Wii;2010,0;Simulation;Electronic Arts;0,61;0,73;0,0;0,15;1,49;Bajas Ventas
1277;New Play Control! Mario Power Tennis;Wii;2009,0;Sports;Nintendo;0,37;0,69;0,28;0,14;1,48;Bajas Ventas
1278;Bratz: Forever Diamondz;DS;2006,0;Adventure;THQ;0,43;0,88;0,0;0,18;1,48;Bajas Ventas
1279;Dirge of Cerberus: Final Fantasy VII;PS2;2006,0;Shooter;Square Enix;0,47;0,37;0,52;0,12;1,48;Bajas Ventas
1280;Nintendo World Cup;NES;1990,0;Sports;Nintendo;0,28;0,5;0,65;0,05;1,48;Bajas Ventas
1281;WWF WrestleMania 2000;N64;1999,0;Fighting;THQ;1,2;0,25;0,02;0,02;1,48;Bajas Ventas
1282;Wario Land II;GB;1997,0;Platform;Nintendo;0,7;0,35;0,39;0,04;1,48;Bajas Ventas
1283;Mass Effect 2;PS3;2011,0;Role-Playing;Electronic Arts;0,78;0,47;0,03;0,2;1,48;Bajas Ventas
1284;Major League Baseball 2K5;PS2;2005,0;Sports;Take-Two Interactive;0,72;0,56;0,0;0,19;1,48;Bajas Ventas
1285;Fight Night 2004;PS2;2004,0;Fighting;Electronic Arts;1,08;0,2;0,0;0,2;1,48;Bajas Ventas
1286;Tom Clancy's Splinter Cell: Pandora Tomorrow;XB;2004,0;Action;Ubisoft;0,82;0,59;0,0;0,07;1,48;Bajas Ventas
1287;Imagine: Master Chef;DS;2007,0;Simulation;Ubisoft;0,39;0,92;0,0;0,17;1,47;Bajas Ventas
